"gamma_Gzp_n","mean","lo95","lo90","hi90","hi95","beta"
"Intercept",0.240332601914641,-0.100088795933609,-0.035681638771456,0.506633240091202,0.58257146379596,"Intercept"
"ln_zpSR",0.00417446383719574,-0.537204633028087,-0.420953907444323,0.425122400782361,0.542856171494521,"ln_zpSR"
"Omni",0.18805010037331,-0.976998817215659,-0.731517497989536,1.08358947916882,1.29658886569577,"Omni"
"ln_phyB",-0.0772801214948343,-0.464231261165319,-0.376861181930372,0.244489303551504,0.324981039217853,"ln_phyB"
"ln_zpD",0.0378025156059009,-0.278596340923424,-0.220016830624374,0.267105392069714,0.335475820250253,"ln_zpD"
"Envi1",0.0121033574397193,-0.146206474424179,-0.112835035442998,0.13721955805844,0.173359655282011,"Envi1"
"Envi2",0.0267602323256252,-0.194052500418294,-0.146091538101222,0.203752819462528,0.247718631179971,"Envi2"
"Envi3",-0.0273190400181854,-0.239704607995016,-0.196971854313705,0.154609620564477,0.198234382756009,"Envi3"
"interaction",-0.681647944771422,-14.1427592690922,-14.074366549025,11.651005675598,14.0175650284819,"interaction"
