"Samp_ID","PAR_above","PAR_in","pH","Cond","Temp","Year","PAR","TN_mean","TP_mean","mu","phyB","Prod","All_gz","All_gzp","mzp_gzp","All_Omni","All_Omni_prop","mzpDen","Dilu_R2","mu_pval","mzp_gzr","mzp_gz_pval","phySR","zpSR","zpD","Gz","Gzp","mzpGzp","Omni","Omnip","TN","TP"
"Lake_1",1250,700,-0.691761620746274,0.156271241887808,-1.35337837914707,2017,0.736551913626201,20.682082532717,23.7563052779923,0.321535127357679,-0.742876410344068,-0.758518974388482,25988088.2250837,0.627304644203046,0.471861806187843,-13.783192044,0.307035981416122,10.545380724,0.644365548574842,0.000474555596331044,0.930258681489754,0.000581698769413859,-1.68177092963125,0.873208538968646,-0.827765433822591,-0.23358136785318,1.34938222359537,0.993922863340188,-0.457691722040052,-0.117813061497819,-1.34141303982562,0.675722681053713
"Lake_2",1200,770,-0.0596045236913069,-1.00727936337245,-1.99239845709657,2017,0.922766472234141,63.0292669094425,24.2732654569219,-1.00555849237872,-0.539664458036776,-0.799064559883056,11007947.9740954,0.28470893346899,0.133674035591526,-57.9846940033333,0.187374676004624,48.8343697866667,0.755474339252726,8.78076385241676e-09,0.173261559440192,3.32326285488313e-05,-0.251712457145226,-0.1245586377302,0.697104211744455,-0.716292039939577,0.132814666009619,-0.0542596106495978,0.772456091325386,-0.842893608946325,0.33394267592107,0.68664949204057
"Lake_3",1670,790,-1.01585430458032,-0.173404396714114,-2.1122066804644,2017,0.505750411193452,40.8315575199915,15.8788168371599,1.3236901261637,-0.767865354230929,-0.358323336177031,46359060.7274103,0.566009983785687,0.258936018168338,-100.89925935,0.648539988475052,61.20522405,0.521112046596384,6.89261118076523e-06,1.05367118598718,0.00214156642930179,-1.36584706061455,1.65914063695717,1.02971463233877,0.0916523937514078,1.19103572070494,0.495208248472361,1.96678787605296,1.9515101131293,-0.318776509712622,0.471240900368175
"Lake_4",330,120,-0.922694507244468,-0.502598944753638,0.0377401133253053,2017,0.145918784549428,28.1459891915579,15.2633880527199,1.01262342561374,-1.16136684207461,-0.922961243082154,6841473.5500733,0.21851822139934,0.305748259115838,-9.93687684783333,0.532571885573185,6.48379168466667,0.638204510815572,2.01005005848778e-06,0.937215710295076,0.000370906132942481,-0.579146910138074,0.647724460706539,-0.470925459404035,-0.983554685951537,-0.274673430170377,0.633312268170551,-0.564736415508428,1.24880830614592,-0.878140382442856,0.451177096900255
"Lake_5",510,180,-0.760749105970477,-1.02101584501169,0.963911263742684,2017,0.105083057186383,37.3689842036272,16.6665656812432,-1.1232307364262,0.00134330814467828,-0.263913441725441,14611377.6301825,0.151896578175589,0.14960435705857,-6.80279682516667,0.372066438871014,4.95806663033333,0.758193023189141,3.00248410128798e-07,0.189840575609755,6.5755913743394e-05,-0.465982406719903,-0.745890947468129,-1.30523225039954,-0.557162659584133,-0.834734424084919,0.0393077237654882,-0.651959281607928,0.276235119157319,-0.452004637770687,0.495816917506979
"Lake_6",1220,780,-0.126344593471051,-3.55301981890585,1.51511554908863,2017,0.917806624687197,52.1386985882132,15.5341767178735,0.563354380451817,-0.703862528992601,-0.642677658604855,21557860.2127526,0.427193756859529,0.303572172229439,-5.2118976925,0.183415302599489,4.404115513,0.66679766191523,1.14815207955718e-06,0.681595010728045,0.00022276886149817,-0.579146910138074,1.28689540513805,-1.86467887815091,-0.338605096228502,0.757712009908792,0.627376361474377,-0.696234724807469,-0.866885196087011,0.0487482468037792,0.460103028799466
"Lake_8",1330,660,-0.691761620746274,-0.901877193808449,0.485085185302117,2017,0.571206353035138,45.2785261437953,32.8646512877047,1.2719654289991,-0.716850176324651,-0.337008742044327,45948947.7610994,0.54100236247419,0.196034314923338,-8.98662627766667,0.0917233936540629,8.23159632733333,0.454340604415949,1.21230948676169e-06,0.757558102653716,0.00490658865479541,-0.819155244730143,0.873208538968646,-0.940686576253804,0.0866591792056805,1.12144485660034,0.263935571938479,-0.591182319136664,-1.42248685283076,-0.163352096914682,0.84045524195253
"Lake_9",620,200,0.292460853087891,-1.99183202660934,0.0377401133253053,2017,-0.017956711118614,34.7630639456675,78.3079127307565,-0.677897752800614,-0.500470236480939,-0.718563556077439,13448214.929061,0.303259760659237,0.215877992667533,-14.479381005,0.391621151618266,10.404685922,0.796485209088232,7.88958598261052e-08,0.299960248505346,1.08283357158919e-05,-1.36584706061455,-0.1245586377302,-0.572589199598902,-0.603777188864559,0.230024826863358,0.344068023907598,-0.438316468030556,0.394725735444822,-0.560683368158688,1.28115577021245
"Lake_10",760,280,-0.969217670291516,-1.24194637564673,0.38706052736406,2017,0.16380002321493,41.644336308429,22.2546590439586,-0.0873424705673356,-0.41661989201465,-0.530505401647894,22582757.6506945,0.369679361892324,0.218935721160589,-8.35194084283333,0.283807795934569,6.50560065866667,0.488780932113935,8.11986867967417e-06,0.36265676283416,0.00323872035031074,-0.35693390043887,-0.1245586377302,-0.985212168743827,-0.312505528555529,0.535021546530468,0.355756491439155,-0.608845902164983,-0.258562866852874,-0.289143071808051,0.642579908472676
"Lake_11",170,140,-0.126344593471051,0.357728861147977,-0.85397982870605,2017,1.26409780049947,68.5028453787094,9.84761474964765,1.42565475826082,-1.1113558843409,-0.642792078498718,13773429.6235196,0.272989519102141,0.0692080356274529,-4.2164030325,0.166550426758362,3.614419862,0.217709569107899,3.73528990614806e-09,0.313634193101982,0.0527446072946846,-0.579146910138074,-1.10038269353207,-0.888443136358979,-0.590349857232223,0.0680812052609538,-0.601326212147942,-0.723939791941673,-0.969076905975883,0.459145200001826,0.228744641073726
